Weapon1,Weapon2,Material1,Material2,Hypothesis,Total Cells,Matching Cells,Type1,Type2
77d984eb8b,77d984eb8b,Brass,Nickel,1,24,2,125b,125b
77d984eb8b,77d984eb8b,Nickel,Brass,1,18,0,125b,125b
9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,23,8,125b,125b
9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,16,9,125b,125b
9645e12969,9645e12969,Brass,Nickel,1,23,16,125b,125b
9645e12969,9645e12969,Nickel,Brass,1,26,14,125b,125b
64161ddb14,64161ddb14,Nickel,Nickel,1,20,15,125b,125b
64161ddb14,64161ddb14,Nickel,Nickel,1,20,16,125b,125b
eb19c4c309,eb19c4c309,Nickel,Nickel,1,18,9,125b,125b
eb19c4c309,eb19c4c309,Nickel,Nickel,1,23,11,125b,125b
e139e26428,e139e26428,Nickel,Nickel,1,22,8,125b,125b
e139e26428,e139e26428,Nickel,Nickel,1,23,13,125b,125b
8c82f237f9,8c82f237f9,Brass,Nickel,1,20,2,125b,125b
8c82f237f9,8c82f237f9,Nickel,Brass,1,23,0,125b,125b
c2b72ec5bb,c2b72ec5bb,Nickel,Brass,1,23,4,125b,125b
c2b72ec5bb,c2b72ec5bb,Brass,Nickel,1,28,6,125b,125b
8197f401c9,8197f401c9,Nickel,Nickel,1,23,7,125b,125b
8197f401c9,8197f401c9,Nickel,Nickel,1,15,3,125b,125b
e3d39b187c,e3d39b187c,Brass,Brass,1,20,1,125b,125b
e3d39b187c,e3d39b187c,Brass,Brass,1,12,0,125b,125b
5e1f731abe,5e1f731abe,Brass,Brass,1,17,4,125b,125b
5e1f731abe,5e1f731abe,Brass,Brass,1,21,5,125b,125b
f48f13c8d2,f48f13c8d2,Nickel,Brass,1,26,4,125b,125b
f48f13c8d2,f48f13c8d2,Brass,Nickel,1,21,3,125b,125b
b9dba629ae,b9dba629ae,Nickel,Nickel,1,30,12,125b,125b
b9dba629ae,b9dba629ae,Nickel,Nickel,1,20,11,125b,125b
13189e401d,13189e401d,Nickel,Brass,1,26,7,125b,125b
13189e401d,13189e401d,Brass,Nickel,1,18,6,125b,125b
b92f20bb93,b92f20bb93,Brass,Nickel,1,20,3,125b,125b
b92f20bb93,b92f20bb93,Nickel,Brass,1,26,3,125b,125b
218ae10a65,218ae10a65,Nickel,Nickel,1,20,3,125b,125b
218ae10a65,218ae10a65,Nickel,Nickel,1,16,5,125b,125b
c2fa87aa95,c2fa87aa95,Nickel,Brass,1,27,1,125b,125b
c2fa87aa95,c2fa87aa95,Brass,Nickel,1,28,1,125b,125b
