Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
4301,4301,43012574d4,43012574d4,Nickel,Nickel,1,20,20
4301,4301,43012574d4,43012574d4,Nickel,Nickel,1,21,28
0f1b,0f1b,0f1b7d028f,0f1b7d028f,Brass,Brass,1,1,28
0f1b,0f1b,0f1b7d028f,0f1b7d028f,Brass,Brass,1,1,24
a3b1,a3b1,a3b1085bea,a3b1085bea,Brass,Nickel,1,1,18
a3b1,a3b1,a3b1085bea,a3b1085bea,Nickel,Brass,1,0,16
3443,3443,3443ea5ba5,3443ea5ba5,Brass,Brass,1,1,13
3443,3443,3443ea5ba5,3443ea5ba5,Brass,Brass,1,1,30
2166,2166,21664540e1,21664540e1,Brass,Brass,1,2,28
2166,2166,21664540e1,21664540e1,Brass,Brass,1,2,20
a057,a057,a0575f4e5b,a0575f4e5b,Nickel,Nickel,1,1,23
a057,a057,a0575f4e5b,a0575f4e5b,Nickel,Nickel,1,1,26
90d6,90d6,90d6397a11,90d6397a11,Brass,Brass,1,7,16
90d6,90d6,90d6397a11,90d6397a11,Brass,Brass,1,8,42
633f,633f,633fbb7de1,633fbb7de1,Nickel,Nickel,1,22,30
633f,633f,633fbb7de1,633fbb7de1,Nickel,Nickel,1,24,30
3a2a,3a2a,3a2a75a851,3a2a75a851,Brass,Brass,1,2,26
3a2a,3a2a,3a2a75a851,3a2a75a851,Brass,Brass,1,1,19
803e,803e,803e2e304c,803e2e304c,Brass,Nickel,1,1,20
803e,803e,803e2e304c,803e2e304c,Nickel,Brass,1,2,26
a404,a404,a404412c4e,a404412c4e,Nickel,Brass,1,3,26
a404,a404,a404412c4e,a404412c4e,Brass,Nickel,1,1,20
b181,b181,b18136930a,b18136930a,Nickel,Nickel,1,10,26
b181,b181,b18136930a,b18136930a,Nickel,Nickel,1,11,20
ef4d,ef4d,ef4d4aee2a,ef4d4aee2a,Nickel,Brass,1,1,26
ef4d,ef4d,ef4d4aee2a,ef4d4aee2a,Brass,Nickel,1,1,23
d507,d507,d5070cee0f,d5070cee0f,Nickel,Brass,1,16,26
d507,d507,d5070cee0f,d5070cee0f,Brass,Nickel,1,9,16
06e1,06e1,06e173827a,06e173827a,Nickel,Brass,1,6,23
06e1,06e1,06e173827a,06e173827a,Brass,Nickel,1,8,28
1ea8,1ea8,1ea8833be0,1ea8833be0,Nickel,Nickel,1,6,16
1ea8,1ea8,1ea8833be0,1ea8833be0,Nickel,Nickel,1,7,23
ab58,ab58,ab584c07c2,ab584c07c2,Brass,Brass,1,2,26
ab58,ab58,ab584c07c2,ab584c07c2,Brass,Brass,1,1,21
e6cc,e6cc,e6cc40d201,e6cc40d201,Brass,Nickel,1,4,16
e6cc,e6cc,e6cc40d201,e6cc40d201,Nickel,Brass,1,2,16
d645,d645,d64504718a,d64504718a,Brass,Nickel,1,1,23
d645,d645,d64504718a,d64504718a,Nickel,Brass,1,1,30
6e46,6e46,6e46d2b898,6e46d2b898,Brass,Nickel,1,1,11
6e46,6e46,6e46d2b898,6e46d2b898,Nickel,Brass,1,1,24
f0a0,f0a0,f0a0fa9524,f0a0fa9524,Nickel,Nickel,1,10,26
f0a0,f0a0,f0a0fa9524,f0a0fa9524,Nickel,Nickel,1,12,26
6158,6158,61583cc233,61583cc233,Nickel,Brass,1,3,28
6158,6158,61583cc233,61583cc233,Brass,Nickel,1,3,20
1164,1164,1164bc1754,1164bc1754,Brass,Brass,1,2,16
1164,1164,1164bc1754,1164bc1754,Brass,Brass,1,4,18
4b65,4b65,4b653e1078,4b653e1078,Nickel,Nickel,1,7,24
4b65,4b65,4b653e1078,4b653e1078,Nickel,Nickel,1,8,26
dd89,dd89,dd89c806a4,dd89c806a4,Nickel,Nickel,1,18,27
dd89,dd89,dd89c806a4,dd89c806a4,Nickel,Nickel,1,20,26
13e4,13e4,13e462a218,13e462a218,Nickel,Nickel,1,12,26
13e4,13e4,13e462a218,13e462a218,Nickel,Nickel,1,15,26
4bbf,4bbf,4bbf967d87,4bbf967d87,Brass,Brass,1,0,18
4bbf,4bbf,4bbf967d87,4bbf967d87,Brass,Brass,1,2,24
3c68,3c68,3c6819beb9,3c6819beb9,Brass,Brass,1,1,16
3c68,3c68,3c6819beb9,3c6819beb9,Brass,Brass,1,1,21
442e,442e,442ed1aba3,442ed1aba3,Brass,Brass,1,7,26
