Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
e73f,e73f,e73f2a461a,e73f2a461a,Nickel,Brass,1,45,72
f4a4,f4a4,f4a4bde1b3,f4a4bde1b3,Brass,Nickel,1,4,104
f4a4,f4a4,f4a4bde1b3,f4a4bde1b3,Nickel,Brass,1,4,80
f93d,f93d,f93de13acc,f93de13acc,Nickel,Nickel,1,35,80
f93d,f93d,f93de13acc,f93de13acc,Nickel,Nickel,1,28,82
897d,897d,897db18f79,897db18f79,Nickel,Nickel,1,41,76
897d,897d,897db18f79,897db18f79,Nickel,Nickel,1,37,76
036b,036b,036b9b2627,036b9b2627,Brass,Nickel,1,22,125
036b,036b,036b9b2627,036b9b2627,Nickel,Brass,1,18,93
ed21,ed21,ed215713b2,ed215713b2,Brass,Brass,1,21,124
ed21,ed21,ed215713b2,ed215713b2,Brass,Brass,1,18,147
4da4,4da4,4da4146300,4da4146300,Brass,Nickel,1,31,116
4da4,4da4,4da4146300,4da4146300,Nickel,Brass,1,32,92
4e8c,4e8c,4e8c87be73,4e8c87be73,Nickel,Brass,1,17,36
4e8c,4e8c,4e8c87be73,4e8c87be73,Brass,Nickel,1,14,36
db9f,db9f,db9f861795,db9f861795,Brass,Nickel,1,14,42
db9f,db9f,db9f861795,db9f861795,Nickel,Brass,1,16,36
d00b,d00b,d00bf582d1,d00bf582d1,Brass,Nickel,1,14,36
d00b,d00b,d00bf582d1,d00bf582d1,Nickel,Brass,1,21,36
5d53,5d53,5d53b1980d,5d53b1980d,Nickel,Nickel,1,26,36
5d53,5d53,5d53b1980d,5d53b1980d,Nickel,Nickel,1,30,40
e947,e947,e947234b60,e947234b60,Nickel,Nickel,1,11,36
e947,e947,e947234b60,e947234b60,Nickel,Nickel,1,15,36
e835,e835,e835221e42,e835221e42,Brass,Brass,1,14,36
e835,e835,e835221e42,e835221e42,Brass,Brass,1,14,36
eeb4,eeb4,eeb4c50ec0,eeb4c50ec0,Brass,Nickel,1,20,39
eeb4,eeb4,eeb4c50ec0,eeb4c50ec0,Nickel,Brass,1,24,36
0db0,0db0,0db08b7f9e,0db08b7f9e,Brass,Nickel,1,19,42
0db0,0db0,0db08b7f9e,0db08b7f9e,Nickel,Brass,1,14,42
3aba,3aba,3aba1ffd71,3aba1ffd71,Brass,Brass,1,28,40
3aba,3aba,3aba1ffd71,3aba1ffd71,Brass,Brass,1,26,40
a54c,a54c,a54ce43a84,a54ce43a84,Nickel,Nickel,1,30,42
a54c,a54c,a54ce43a84,a54ce43a84,Nickel,Nickel,1,26,36
bd69,bd69,bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,29,30
bd69,bd69,bd69b2b57e,bd69b2b57e,Nickel,Nickel,1,30,36
8d2c,8d2c,8d2c6884a2,8d2c6884a2,Brass,Brass,1,20,40
8d2c,8d2c,8d2c6884a2,8d2c6884a2,Brass,Brass,1,20,36
e148,e148,e148843b1b,e148843b1b,Nickel,Nickel,1,34,42
e148,e148,e148843b1b,e148843b1b,Nickel,Nickel,1,30,36
867e,867e,867e742682,867e742682,Nickel,Brass,1,8,32
867e,867e,867e742682,867e742682,Brass,Nickel,1,10,36
81bb,81bb,81bb3cb084,81bb3cb084,Brass,Brass,1,34,42
81bb,81bb,81bb3cb084,81bb3cb084,Brass,Brass,1,30,42
46a9,46a9,46a94c0ba6,46a94c0ba6,Brass,Brass,1,14,36
46a9,46a9,46a94c0ba6,46a94c0ba6,Brass,Brass,1,13,30
1a61,1a61,1a61c27690,1a61c27690,Nickel,Brass,1,14,35
1a61,1a61,1a61c27690,1a61c27690,Brass,Nickel,1,8,32
63c6,63c6,63c6b83358,63c6b83358,Nickel,Brass,1,22,42
63c6,63c6,63c6b83358,63c6b83358,Brass,Nickel,1,27,42
fb36,fb36,fb36246e43,fb36246e43,Nickel,Nickel,1,17,40
fb36,fb36,fb36246e43,fb36246e43,Nickel,Nickel,1,24,42
fa65,fa65,fa6595462f,fa6595462f,Brass,Brass,1,13,36
fa65,fa65,fa6595462f,fa6595462f,Brass,Brass,1,9,42
f9a6,f9a6,f9a66f58d3,f9a66f58d3,Nickel,Brass,1,9,36
f9a6,f9a6,f9a66f58d3,f9a66f58d3,Brass,Nickel,1,10,36
e8a2,e8a2,e8a21c10c7,e8a21c10c7,Brass,Nickel,1,14,36
